lat	lon	title	description	iconSize	iconOffset	icon
4449764.7843901	1673142.6954227	Lug Siracusa	<a href="http://www.siracusa.linux.it/">http://www.siracusa.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
4530924.1582259	1426766.2309069	S.L.U.R.P.	<a href="http://www.slurp.joomlafree.it/">http://www.slurp.joomlafree.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5418968.9315292	1218444.3180379	GOLEM	<a href="http://golem.linux.it/">http://golem.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5437392.6509169	1256999.9287746	Flug	<a href="http://www.firenze.linux.it/">http://www.firenze.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5430491.7849335	1216943.3283416	GroLug	<a href="http://www.grolug.org/">http://www.grolug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5430491.7849335	1216943.3283416	GuruAtWork	<a href="http://www.guruatwork.com/">http://www.guruatwork.com/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5308306.2663172	1180533.1368096	GuIP!	<a href="http://gulp.perlmonk.org/">http://gulp.perlmonk.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5430491.7849335	1216943.3283416	Gulli	<a href="http://www.livorno.linux.it/">http://www.livorno.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5478217.6671735	1123728.7946097	ACROS	<a href="http://www.lug-acros.org/">http://www.lug-acros.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5466267.2853519	1161840.8249466	Lucca Lug	<a href="http://luccalug.it/">http://luccalug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5388837.9835246	1187507.2681298	Gulp	<a href="http://www.gulp.linux.it/">http://www.gulp.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5460589.2625094	1207785.1129516	PtLug	<a href="http://www.ptlug.org/">http://www.ptlug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5457989.2718613	1234937.0442718	Plug	<a href="http://www.prato.linux.it/">http://www.prato.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
